domain,category,result
suicidepreventionlifeline.org,benign,UNRESOLVED
royanews.tv,benign,UNRESOLVED
jensonusa.com,benign,UNRESOLVED
q2s15.com,benign,UNRESOLVED
fiberworld.net.np,benign,UNRESOLVED
alienvault.com,benign,UNRESOLVED
fiba3x3.com,benign,UNRESOLVED
bna.com,benign,UNRESOLVED
neokyo.com,benign,UNRESOLVED
ipros.com,benign,UNRESOLVED
ctinsider.com,benign,UNRESOLVED
autoauctionhistory.com,benign,UNRESOLVED
mensxp.com,benign,UNRESOLVED
logalty.com,benign,UNRESOLVED
nextdns.io,benign,UNRESOLVED
kenwood.com,benign,UNRESOLVED
wink.com,benign,UNRESOLVED
fildeonline.pro,benign,UNRESOLVED
atomicdata.com,benign,UNRESOLVED
openrec.tv,benign,UNRESOLVED
317198135.xyz,benign,UNRESOLVED
outsystems.com,benign,UNRESOLVED
hralliance.net,benign,UNRESOLVED
smtmdns.com,benign,UNRESOLVED
ke2.io,benign,UNRESOLVED
bki-okb.com,benign,UNRESOLVED
kairaweb.com,benign,UNRESOLVED
forbesmiddleeast.com,benign,UNRESOLVED
ouigo.com,benign,UNRESOLVED
ray-ban.com,benign,UNRESOLVED
mpio.io,benign,UNRESOLVED
csu.edu.cn,benign,UNRESOLVED
rj.link,benign,UNRESOLVED
oasis.io,benign,UNRESOLVED
atomy.com,benign,UNRESOLVED
kagome.co.jp,benign,UNRESOLVED
super.com,benign,UNRESOLVED
google.com.mx,benign,UNRESOLVED
passport.gov.ph,benign,UNRESOLVED
bakbakan777.live,benign,UNRESOLVED
facebook.net,benign,UNRESOLVED
perksatwork.com,benign,UNRESOLVED
eatingwell.com,benign,UNRESOLVED
sixty60.co.za,benign,UNRESOLVED
coleparmer.com,benign,UNRESOLVED
pure.cloud,benign,UNRESOLVED
awsdns-01.co.uk,benign,UNRESOLVED
freetranslation.com,benign,UNRESOLVED
ellitoral.com,benign,UNRESOLVED
nchu.edu.tw,benign,UNRESOLVED
staticblitz.com,benign,UNRESOLVED
webflow.com,benign,UNRESOLVED
ashleyhomestore.ca,benign,UNRESOLVED
storeland.net,benign,UNRESOLVED
miskler.ru,benign,UNRESOLVED
spoje.net,benign,UNRESOLVED
aldi-sued.de,benign,UNRESOLVED
juventus.com,benign,UNRESOLVED
goldgo.cc,benign,UNRESOLVED
gayboy.at,benign,UNRESOLVED
psscdn.com,benign,UNRESOLVED
ruecdn.com,benign,UNRESOLVED
tlivesdkconfig.com,benign,UNRESOLVED
csicop.org,benign,UNRESOLVED
ad4989.co.kr,benign,UNRESOLVED
kinogo-go.tv,benign,UNRESOLVED
colourbox.de,benign,UNRESOLVED
fortiguard.com,benign,UNRESOLVED
ezmovie.movie,benign,UNRESOLVED
rescuegroups.org,benign,UNRESOLVED
srs.kg,benign,UNRESOLVED
practicepanther.com,benign,UNRESOLVED
tryinvision.com,benign,UNRESOLVED
mdlink.de,benign,UNRESOLVED
pebblepilot.com,benign,UNRESOLVED
ktsm.com,benign,UNRESOLVED
site5.com,benign,UNRESOLVED
discoverfinancial.com,benign,UNRESOLVED
polygonimages.com,benign,UNRESOLVED
efty.com,benign,UNRESOLVED
maserati.com,benign,UNRESOLVED
bandab.com.br,benign,UNRESOLVED
guampdn.com,benign,UNRESOLVED
universiteitleiden.nl,benign,UNRESOLVED
peakon.com,benign,UNRESOLVED
infobae.com,benign,UNRESOLVED
estudandoead.com,benign,UNRESOLVED
onap.org,benign,UNRESOLVED
opensocietyfoundations.org,benign,UNRESOLVED
rewe.co.at,benign,UNRESOLVED
zmtcdn.com,benign,UNRESOLVED
ulakbim.gov.tr,benign,UNRESOLVED
clz.ru,benign,UNRESOLVED
wandering-chef.com,benign,UNRESOLVED
dana.id,benign,UNRESOLVED
consensys.net,benign,UNRESOLVED
travelodge.co.uk,benign,UNRESOLVED
mpl.live,benign,UNRESOLVED
foundry.com,benign,UNRESOLVED
mixnews.lv,benign,UNRESOLVED
hostasaurus.com,benign,UNRESOLVED
cracked.com,benign,UNRESOLVED
blacksun.ca,benign,UNRESOLVED
autostraddle.com,benign,UNRESOLVED
okbnetplaza.com,benign,UNRESOLVED
kubiobuilder.com,benign,UNRESOLVED
rustoria.uk,benign,UNRESOLVED
nikacustomercare.com,benign,UNRESOLVED
jv.dk,benign,UNRESOLVED
xephion.ne.jp,benign,UNRESOLVED
adobejanus.com,benign,UNRESOLVED
teleos.ru,benign,UNRESOLVED
vespa-app.cloud,benign,UNRESOLVED
hemmings.com,benign,UNRESOLVED
5gbet.com,benign,UNRESOLVED
ifnapp.com,benign,UNRESOLVED
spin-better.net,benign,UNRESOLVED
iffarroupilha.edu.br,benign,UNRESOLVED
maxclientstatapi.com,benign,UNRESOLVED
nortelnetworks.com,benign,UNRESOLVED
stgy.ovh,benign,UNRESOLVED
nsd.se,benign,UNRESOLVED
neopetsclassic.com,benign,UNRESOLVED
flexerilinfo.com,benign,UNRESOLVED
planetadelibros.com,benign,UNRESOLVED
fussball.de,benign,UNRESOLVED
toofab.com,benign,UNRESOLVED
realcanadiansuperstore.ca,benign,UNRESOLVED
creacionblog.com,benign,UNRESOLVED
garnstudio.com,benign,UNRESOLVED
pgnodebat.com,benign,UNRESOLVED
mydomain.org,benign,UNRESOLVED
xxxbp.tv,benign,UNRESOLVED
nginx.com,benign,UNRESOLVED
familie.de,benign,UNRESOLVED
maxmovie21.me,benign,UNRESOLVED
mit.edu,benign,UNRESOLVED
vzsar.ru,benign,UNRESOLVED
dnslnk.com,benign,UNRESOLVED
omk.ru,benign,UNRESOLVED
droch.club,benign,UNRESOLVED
lotteon.com,benign,UNRESOLVED
drupal.org,benign,UNRESOLVED
galxboy.co.za,benign,UNRESOLVED
ghdhair.com,benign,UNRESOLVED
scan-manga.com,benign,UNRESOLVED
clipstat.com,benign,UNRESOLVED
lu88.ai,benign,UNRESOLVED
popcash.net,benign,UNRESOLVED
kika.de,benign,UNRESOLVED
zdravalt.ru,benign,UNRESOLVED
cardmarket.com,benign,UNRESOLVED
titsintops.com,benign,UNRESOLVED
mangaraw.ac,benign,UNRESOLVED
msn.net,benign,UNRESOLVED
rambler-co.ru,benign,UNRESOLVED
bauhaus.dk,benign,UNRESOLVED
cinemasunshine.co.jp,benign,UNRESOLVED
tjes.jus.br,benign,UNRESOLVED
afeeshost.com,benign,UNRESOLVED
skidata.com,benign,UNRESOLVED
ifgoiano.edu.br,benign,UNRESOLVED
theoi.com,benign,UNRESOLVED
monthlyreview.org,benign,UNRESOLVED
customeriomail.com,benign,UNRESOLVED
livescience.com,benign,UNRESOLVED
hornyfap.tv,benign,UNRESOLVED
hull.ac.uk,benign,UNRESOLVED
santagostino.it,benign,UNRESOLVED
gaf.com,benign,UNRESOLVED
atlanticspins.net,benign,UNRESOLVED
infoweb.ne.jp,benign,UNRESOLVED
tcptickle.com,benign,UNRESOLVED
espn.net,benign,UNRESOLVED
gramedia.com,benign,UNRESOLVED
suinfra.com,benign,UNRESOLVED
colorswall.com,benign,UNRESOLVED
canto.com,benign,UNRESOLVED
plot.ly,benign,UNRESOLVED
gooroocredito.com.br,benign,UNRESOLVED
ovationtix.com,benign,UNRESOLVED
dhbw.de,benign,UNRESOLVED
botoltoto.com,benign,UNRESOLVED
celeste.fr,benign,UNRESOLVED
togetter.com,benign,UNRESOLVED
ipinfo.be,benign,UNRESOLVED
buchmesse.de,benign,UNRESOLVED
playinexch247.com,benign,UNRESOLVED
zooplus.es,benign,UNRESOLVED
berkshirehathaway.com,benign,UNRESOLVED
playmetrics.com,benign,UNRESOLVED
readcomiconline.li,benign,UNRESOLVED
logitravel.it,benign,UNRESOLVED
munichre.com,benign,UNRESOLVED
io.com,benign,UNRESOLVED
xn--80axcecfeegn.xn--p1ai,benign,UNRESOLVED
sport-express.ru,benign,UNRESOLVED
stylevana.com,benign,UNRESOLVED
mazusoft.com.br,benign,UNRESOLVED
belinvestbank.by,benign,UNRESOLVED
capitaltop.org,benign,UNRESOLVED
wallpaperflare.com,benign,UNRESOLVED
rogeriomenezes.com.br,benign,UNRESOLVED
elections.org.za,benign,UNRESOLVED
onlinebank.kz,benign,UNRESOLVED
3dzip.info,benign,UNRESOLVED
denverartmuseum.org,benign,UNRESOLVED
zu29ffu889f.com,benign,UNRESOLVED
whatismyip.com,benign,UNRESOLVED
sakura-checker.jp,benign,UNRESOLVED
transport.wa.gov.au,benign,UNRESOLVED
e-timecard.ne.jp,benign,UNRESOLVED
indocair97.xyz,benign,UNRESOLVED
saem.com.ar,benign,UNRESOLVED
schwalbe.com,benign,UNRESOLVED
moodmedia.com,benign,UNRESOLVED
tapclap.com,benign,UNRESOLVED
jiji.ng,benign,UNRESOLVED
boardingarea.com,benign,UNRESOLVED
torrent9.to,benign,UNRESOLVED
brzozowiak.pl,benign,UNRESOLVED
02.net,benign,UNRESOLVED
ebay.fr,benign,UNRESOLVED
marlboro.com,benign,UNRESOLVED
kraken.com,benign,UNRESOLVED
stape.ma,benign,UNRESOLVED
makeheadway.com,benign,UNRESOLVED
as48447.net,benign,UNRESOLVED
ultainc.com,benign,UNRESOLVED
puzzlefactory.com,benign,UNRESOLVED
18comic.ink,benign,UNRESOLVED
bisound.com,benign,UNRESOLVED
qinglanbaseanycast.com,benign,UNRESOLVED
elavon.com,benign,UNRESOLVED
notino.cz,benign,UNRESOLVED
thirdiron.com,benign,UNRESOLVED
novyny.live,benign,UNRESOLVED
topspeed.com,benign,UNRESOLVED
skyscanner.ch,benign,UNRESOLVED
slickdealscdn.com,benign,UNRESOLVED
gocarty.cloud,benign,UNRESOLVED
meduniwien.ac.at,benign,UNRESOLVED
umbler.com,benign,UNRESOLVED
xvideo.vlog.br,benign,UNRESOLVED
kao-kirei.com,benign,UNRESOLVED
kagane.org,benign,UNRESOLVED
bercut.com,benign,UNRESOLVED
callcentric.net,benign,UNRESOLVED
ascii.jp,benign,UNRESOLVED
shorturl.at,benign,UNRESOLVED
aladdin.ie,benign,UNRESOLVED
kernel.org,benign,UNRESOLVED
streamfind.com,benign,UNRESOLVED
aji0y6dpbhsahxt.net,dga,UNRESOLVED
v3a3zmf8mdd4v30t9nt3w5uzbi.info,dga,UNRESOLVED
45nq4fmyzycwti.xyz,dga,UNRESOLVED
j7yhl1c32oc6uzhr5xff0t0p.org,dga,UNRESOLVED
n9er14ffyvnvqjt7ye511mkf.com,dga,UNRESOLVED
81sdw4shnf877vren93i.net,dga,UNRESOLVED
drc11ertj5pht0.net,dga,UNRESOLVED
oyn6qicatvazccblskrt0.org,dga,UNRESOLVED
irodxmo5bxxc02dgtfgq5c34dxt.com,dga,UNRESOLVED
74frhocn9j2qp8.org,dga,UNRESOLVED
fk8ut0cvs4f8cgvyie6ivwpvs7h.info,dga,UNRESOLVED
jexq77awudtsemcikpt.info,dga,UNRESOLVED
a3kx7eedtjvzhwjr64dpja1wj0tp.com,dga,UNRESOLVED
c56t4ufel6246hi.com,dga,UNRESOLVED
25owf75935a0l7253j2d54i.xyz,dga,UNRESOLVED
k2iagl58kxo9t7e8g8jdp0l.org,dga,UNRESOLVED
e6gbps3y70hp87wxe6sylztgxn0g.org,dga,UNRESOLVED
o4kh2vlpys280xkxwd8il.net,dga,UNRESOLVED
air4cowgzrixa11d.xyz,dga,UNRESOLVED
g8sbi4q2y9v86wzs3t6.xyz,dga,UNRESOLVED
jiw1swjckjlteiyzcotohp6vz4.org,dga,UNRESOLVED
r7ko64t026rjrny20479t6vx.com,dga,UNRESOLVED
eqbnhl1n13jcat9mx2x18hafe.com,dga,UNRESOLVED
qjnv8z2flu7u6n7hv3.net,dga,UNRESOLVED
zky22ubtxcxaprp.info,dga,UNRESOLVED
zp08j3trp0j43d5iqvnb4gh2m5.info,dga,UNRESOLVED
sgiotirzqako.net,dga,UNRESOLVED
xntm9tmqlizl08yg0jv1v.com,dga,UNRESOLVED
kmkzebbk7w1dakrm8j.xyz,dga,UNRESOLVED
3ocwbfuk9e1v2is.xyz,dga,UNRESOLVED
kvpuc8d1wjcitfoyqbkk4cij2v.net,dga,UNRESOLVED
eifjfc2v37pqkojtpv60vaiy4.org,dga,UNRESOLVED
9yjb1qx6gvwr.com,dga,UNRESOLVED
mly4lyk83tqll8os9xtogn1w1ht.info,dga,UNRESOLVED
5rbw2zlaoi4e8xf7kzorqqfgv0.net,dga,UNRESOLVED
j2o7s3kkv9rftm.org,dga,UNRESOLVED
qlgzui1b0z3nx39rbsv55psq.net,dga,UNRESOLVED
58c2jwoclyt8w5rtwiykid91z.com,dga,UNRESOLVED
fkblcmpioyggvnyruiwqy6qktc.info,dga,UNRESOLVED
xpj4hnriuu9k9xjuy0bvr.info,dga,UNRESOLVED
vmwwyzx4w6xlpu0dk0g.net,dga,UNRESOLVED
t63j3r30me8f840982n2atq.info,dga,UNRESOLVED
37dia5u6hc36kof8krd5eqy0.org,dga,UNRESOLVED
v05x4w7kyhqin9n6xcj883dhx.com,dga,UNRESOLVED
2ieuc1hh5lf6a.net,dga,UNRESOLVED
t2d5em2vajepecqn.org,dga,UNRESOLVED
qhw06xkxb94pdzp.com,dga,UNRESOLVED
vcjwtl9tqvdz4x1zhqimqo.com,dga,UNRESOLVED
pxnf7c3dd03uvulemx15z8.org,dga,UNRESOLVED
muhxid4n1u3493wxa73jg.info,dga,UNRESOLVED
mgfxc08dtnqfll7v5f1bcp.xyz,dga,UNRESOLVED
vohsmdyvslh9bh811kerpetiuym.xyz,dga,UNRESOLVED
pqclpoxko8g8q.info,dga,UNRESOLVED
pdpoc50h2cwtg1.info,dga,UNRESOLVED
ifhv1xg1r11q7uww.info,dga,UNRESOLVED
pqw2vmcqbnkx9dvn.org,dga,UNRESOLVED
q3xlrfcd6mzsg.net,dga,UNRESOLVED
9svn7n1ybwmlunj48vfcx7lxxe.com,dga,UNRESOLVED
uxlez896dysal8m1g9fk2.org,dga,UNRESOLVED
bm1enf313fpoyipk0qtl3q4n89qk.xyz,dga,UNRESOLVED
s832ejx5td44k1j6fp8hqmabsi9n.com,dga,UNRESOLVED
74x2ek3zezqacj4t0sekkb.xyz,dga,UNRESOLVED
c4rtwuzkamugysm8t2sa5bnn0m.com,dga,UNRESOLVED
ixdu1emmx3y9rgez7bh25ll.xyz,dga,UNRESOLVED
j1gm25len606n9rr7s20cv3tlcx.info,dga,UNRESOLVED
vpymb5m9j98cwn2y8fv2bc2nnu.org,dga,UNRESOLVED
y8n1utoxie0rnujj.xyz,dga,UNRESOLVED
9k6re4q6qdy4lmct64.net,dga,UNRESOLVED
sehe2atn2twdl9zs13c9xqy.info,dga,UNRESOLVED
52xg8p6befflzm76.com,dga,UNRESOLVED
h8jwwdxvugw6m7b5c81j.net,dga,UNRESOLVED
wb6txki3oqyfoqmf5l9mo1sdi.com,dga,UNRESOLVED
qfb85p8637zgf9q5rdoq.net,dga,UNRESOLVED
vbkv4ykadejnobbunk.xyz,dga,UNRESOLVED
qt3wvedn9unfvobbz2sf6f7low4v.org,dga,UNRESOLVED
tzk3ny9v20yar821uzvgww4fyb8d.com,dga,UNRESOLVED
lfyo1750cehlxslg6mm1zxyvgi.org,dga,UNRESOLVED
i9kkhzlm72jeyn9382kkz.info,dga,UNRESOLVED
x0h3jujd0ib6iidlrye89fx5rx.info,dga,UNRESOLVED
kc1xi04b7p47b42g05kbkv.info,dga,UNRESOLVED
qxs6esj3l0xzamkygvwop.info,dga,UNRESOLVED
od9r7anqjluujm.net,dga,UNRESOLVED
yqfy751yw7nh8.xyz,dga,UNRESOLVED
q9nz61231yv2stn7.com,dga,UNRESOLVED
36htf4pyzr6qc.net,dga,UNRESOLVED
ouuylajahcpztc69qkgex08n6q7n.com,dga,UNRESOLVED
xmgtt0iaakytt3im.info,dga,UNRESOLVED
70e3p15ahdbvzb0oih.com,dga,UNRESOLVED
sk30lvylkfxhkc85.net,dga,UNRESOLVED
ubmxnszokgtii4fqcootnjlcq.info,dga,UNRESOLVED
t3bnvbc2vyhh6k.com,dga,UNRESOLVED
78e9rivh6t1ntmjsrd.xyz,dga,UNRESOLVED
6nouhfj7upfln4rxyj38xr.net,dga,UNRESOLVED
gzr7txcb48y1o4izasnwywr.xyz,dga,UNRESOLVED
atatj9a3y36d.com,dga,UNRESOLVED
fgs3jonou9iy4x41dntcagrp2u4d.org,dga,UNRESOLVED
i6yuj7yktxg4a.net,dga,UNRESOLVED
1zocfi4o6l1f90s9.com,dga,UNRESOLVED
p4m18o1bj9rm7py.xyz,dga,UNRESOLVED
1kicjn2fomd7q1.com,dga,UNRESOLVED
dpusddtv25ao20u9.net,dga,UNRESOLVED
gnekrcpprcjiwvhdk8lw2lm349el.net,dga,UNRESOLVED
l88kzruin3oeuvtyt8qzpky32or.info,dga,UNRESOLVED
jfpnqvut75pb8z3v6di.info,dga,UNRESOLVED
xb9yo18pajssuuqo1.org,dga,UNRESOLVED
f9rk7d30mm2smdzqcbzamd270stl.xyz,dga,UNRESOLVED
iogxpbwhvnzh13cd5glqj5sxvw.org,dga,UNRESOLVED
m4w3zkwdeekgysp.net,dga,UNRESOLVED
prt77ggkg4w58rhnuxorzpgu.net,dga,UNRESOLVED
bik2u1rsujt9t11php0xi.com,dga,UNRESOLVED
j5d5e3h0y4vpw232utvg9ku8s6.com,dga,UNRESOLVED
82795e5iz31yrujo.xyz,dga,UNRESOLVED
w5dsk7n8la100q.info,dga,UNRESOLVED
2o83rlkte4261b.xyz,dga,UNRESOLVED
e4pa8hyexf7j.info,dga,UNRESOLVED
cxxbw01pddhcvsqame4y.xyz,dga,UNRESOLVED
id3dnkn35xycuv.net,dga,UNRESOLVED
mh07wph6fe0mp2ixivzk7a45hv.net,dga,UNRESOLVED
kb68rervt997e4uny181acjb.com,dga,UNRESOLVED
swsozctwjlsh3tow4ycz04cd.xyz,dga,UNRESOLVED
qvl00ezzf8s2zge.info,dga,UNRESOLVED
1b3jczucqmrunjd.org,dga,UNRESOLVED
isb5iqnf74t60pl.xyz,dga,UNRESOLVED
jcns6g298cqk4ltahukwqv.xyz,dga,UNRESOLVED
0t2f7atwyam1n0lh9p.com,dga,UNRESOLVED
